time,site,easting,northing,Year,richness,ca1.score
t1,S1418,284959,204980,1992,19,0.996919476
t1,S1419,288908,206599,1991,18,0.685530952
t1,S1419,288908,206599,1992,19,1.07109323
t1,S1419,288908,206599,1993,10,1.014495896
t1,S1420,268500,199900,1991,18,0.815967046
t1,S1420,268500,199900,1992,22,0.408490354
t1,S1421,270041,200838,1991,21,0.787041584
t1,S1421,270041,200838,1992,22,0.199599949
t1,S1422,278594,210020,1991,12,0.791459964
t1,S1422,278594,210020,1992,25,0.508889521
t1,S1423,282400,212800,1992,20,0.737860654
t1,S1424,284124,215564,1992,18,0.956058932
t1,S1425,267945,197641,1991,11,-0.326029323
t1,S1425,267945,197641,1992,10,-0.745658176
t1,S1426,268875,201338,1991,17,1.210193175
t1,S1426,268875,201338,1992,23,0.867171215
t1,S1427,272388,203697,1991,22,0.59881354
t1,S1427,272388,203697,1992,12,0.18598298
t1,S1428,271200,205850,1991,21,0.799613571
t1,S1428,271200,205850,1992,16,0.728543712
t1,S1429,276700,210200,1991,20,0.901197539
t1,S1429,276700,210200,1992,17,1.049013323
t1,S1429,276700,210200,1993,14,0.740700492
t1,S1430,275800,211350,1991,15,1.114648364
t1,S1430,275800,211350,1992,24,0.814248313
t1,S1430,275800,211350,1993,21,0.785330391
t1,S1431,278896,211070,1992,12,1.553540985
t1,S1432,261452,208760,1991,21,0.034246244
t1,S1432,261452,208760,1992,22,0.414641051
t1,S1432,261452,208760,1993,22,0.296896298
t1,S1433,261800,209850,1991,32,0.067955851
t1,S1433,261800,209850,1992,16,0.732484633
t1,S1433,261800,209850,1993,29,0.578673896
t1,S1434,353468,210139,1991,26,-0.399700772
t1,S1434,353468,210139,1992,31,-0.254800207
t1,S1434,353468,210139,1993,43,-0.338661813
t1,S1435,351180,212770,1992,27,-0.060327366
t1,S1436,358050,219200,1992,26,-0.466125202
t1,S1437,354803,238171,1991,24,-0.316508836
t1,S1437,354803,238171,1992,30,0.165346871
t1,S1438,351260,239373,1991,24,0.16761434
t1,S1438,351260,239373,1992,27,0.068356473
t1,S1440,326200,247400,1992,23,0.524375122
t1,S1441,317991,239301,1991,15,0.850910388
t1,S1441,317991,239301,1992,27,0.758493285
t1,S1442,311215,241673,1992,27,0.271285284
t1,S1443,301388,258236,1991,18,1.017631632
t1,S1443,301388,258236,1992,21,0.617354881
t1,S1444,295150,271550,1991,14,0.51391967
t1,S1444,295150,271550,1992,19,0.808418106
t1,S1445,284029,282800,1991,12,0.848041901
t1,S1445,284029,282800,1992,12,1.203707609
t1,S1446,352925,200187,1991,24,0.637969516
t1,S1446,352925,200187,1992,21,0.802506036
t1,S1447,356478,209467,1991,5,-0.500225594
t1,S1447,356478,209467,1992,10,-0.667574306
t1,S1448,350936,211460,1991,13,0.009760626
t1,S1448,350936,211460,1992,23,0.031501156
t1,S1449,343108,214390,1991,25,0.232387349
t1,S1449,343108,214390,1992,30,0.484095882
t1,S1450,337183,214114,1991,15,0.342681022
t1,S1450,337183,214114,1992,24,0.449820447
t1,S1451,344277,214108,1992,32,0.472613892
t1,S1452,350730,212180,1991,24,-0.035209638
t1,S1452,350730,212180,1992,21,0.164327097
t1,S1453,339649,226534,1991,26,0.455008534
t1,S1453,339649,226534,1992,20,0.713366403
t1,S1454,339497,227529,1991,24,0.065914551
t1,S1454,339497,227529,1992,29,0.106233978
t1,S1455,334112,238980,1992,17,0.781895732
t1,S1456,340298,228218,1991,16,-0.357930855
